demonicref,demonicsystemid,demonicid,caseref,demonic_type,demonic_text,createdby,createdate,lastupdatedby,lastupdatedon
DP/JO/508,JO,508,C/EGD/2130,Devil's Mark,on back of right hand,jhm,2002-06-10T18:12:08,jhm,2002-06-10T18:12:19
DP/JO/509,JO,509,C/EGD/2130,Want nothing,,jhm,2002-06-10T18:13:51,jhm,2002-06-10T18:13:51
DP/JO/510,JO,510,C/EGD/2141,Servant,,jhm,2002-06-10T21:46:48,jhm,2002-06-10T21:46:49
DP/JO/511,JO,511,C/EGD/2141,New name,Dame,jhm,2002-06-10T21:46:52,jhm,2002-06-10T21:46:57
DP/JO/512,JO,512,C/EGD/2141,Sex,,jhm,2002-06-10T21:47:02,jhm,2002-06-10T21:47:05
DP/JO/513,JO,513,C/EGD/2141,Want nothing,,jhm,2002-06-10T21:47:21,jhm,2002-06-10T21:47:24
DP/JO/514,JO,514,C/EGD/2141,Devil's Mark,at wrist,jhm,2002-06-10T21:47:45,jhm,2002-06-10T21:48:00
DP/JO/515,JO,515,C/JO/3046,Servant,,jhm,2002-06-17T16:02:48,jhm,2002-06-17T16:02:49
DP/JO/516,JO,516,C/EGD/2327,Body and soul,,jhm,2002-06-19T16:03:37,jhm,2002-06-19T16:03:40
DP/JO/517,JO,517,C/EGD/2327,Servant,,jhm,2002-06-19T16:03:41,jhm,2002-06-19T16:03:42
DP/JO/519,JO,519,C/JO/3059,Servant,,jhm,2002-06-27T14:37:01,jhm,2002-06-27T14:37:03
DP/JO/520,JO,520,C/JO/3059,Devil's Mark,on head,jhm,2002-06-27T14:37:08,jhm,2002-06-27T14:37:12
DP/JO/521,JO,521,C/JO/3059,Devil's Mark,on left middle finger,jhm,2002-06-27T14:37:14,jhm,2002-06-27T14:37:39
DP/JO/522,JO,522,C/JO/3059,Anti-baptism,asked to renounce god,jhm,2002-06-27T14:38:27,jhm,2002-06-27T14:38:44
DP/JO/523,JO,523,C/JO/3069,Anti-baptism,,jhm,2002-07-02T09:28:47,jhm,2002-07-02T09:28:49
DP/JO/524,JO,524,C/JO/3069,Devil's Mark,behind her ear,jhm,2002-07-02T09:28:53,jhm,2002-09-26T12:48:09
DP/JO/525,JO,525,C/JO/3070,Sex,Cold as ice,jhm,2002-07-02T09:38:49,jhm,2002-09-26T12:51:00
DP/JO/526,JO,526,C/JO/3071,Paction,Confessed covenant,jhm,2002-07-02T09:48:36,jhm,2002-09-26T12:57:12
DP/JO/527,JO,527,C/JO/3071,New name,Jonet Quhyt,jhm,2002-07-02T09:49:20,jhm,2002-07-02T09:49:34
DP/JO/528,JO,528,C/JO/3071,Sex,,jhm,2002-07-02T09:49:34,jhm,2002-07-02T09:49:36
DP/JO/530,JO,530,C/JO/3076,Devil's Mark,,jhm,2002-07-02T10:24:11,jhm,2002-07-02T10:24:12
DP/JO/531,JO,531,C/EGD/297,Anti-baptism,,jhm,2002-07-03T16:23:09,jhm,2002-07-03T16:23:10
DP/JO/532,JO,532,C/EGD/297,Devil's Mark,eyebrow,jhm,2002-07-03T16:23:12,jhm,2002-07-03T16:23:15
DP/JO/534,JO,534,C/EGD/297,Sex,,jhm,2002-07-03T16:23:39,jhm,2002-07-03T16:23:44
DP/JO/535,JO,535,C/EGD/297,Servant,,jhm,2002-07-03T16:23:47,jhm,2002-07-03T16:23:48
DP/JO/536,JO,536,C/EGD/297,Want nothing,,jhm,2002-07-03T16:23:49,jhm,2002-07-03T16:23:51
DP/JO/537,JO,537,C/EGD/294,Anti-baptism,renounced baptism on her knees,jhm,2002-07-04T11:27:46,jhm,2002-07-04T11:28:03
DP/JO/538,JO,538,C/EGD/294,Want nothing,,jhm,2002-07-04T11:28:08,jhm,2002-07-04T11:28:15
DP/JO/539,JO,539,C/EGD/294,Devil's Mark,genitals,jhm,2002-07-04T11:28:20,jhm,2002-07-04T11:28:32
DP/JO/540,JO,540,C/EGD/294,Sex,nature was cold,jhm,2002-07-04T11:28:35,jhm,2002-07-04T11:28:45
DP/JO/541,JO,541,C/EGD/294,New name,Jonet,jhm,2002-07-04T11:52:35,jhm,2002-07-04T11:53:03
DP/JO/542,JO,542,C/EGD/291,Tacit pact,,jhm,2002-07-04T14:01:02,jhm,2002-07-04T14:01:09
DP/JO/543,JO,543,C/EGD/294,Head and foot,,jhm,2002-07-04T14:16:13,jhm,2002-07-04T14:16:14
DP/JO/545,JO,545,C/EGD/2373,Anti-baptism,,jhm,2002-07-11T10:55:34,jhm,2002-07-11T10:55:34
DP/JO/546,JO,546,C/EGD/2373,Servant,,jhm,2002-07-11T10:55:42,jhm,2002-07-11T10:55:42
DP/JO/547,JO,547,C/EGD/2373,Sex,,jhm,2002-07-11T10:55:43,jhm,2002-07-11T10:55:44
DP/JO/548,JO,548,C/EGD/1813,Anti-baptism,,jhm,2002-07-11T12:45:21,jhm,2002-07-11T12:45:21
DP/JO/549,JO,549,C/EGD/1813,Servant,,jhm,2002-07-11T12:45:28,jhm,2002-07-11T12:45:32
DP/JO/550,JO,550,C/EGD/1813,Sex,,jhm,2002-07-11T12:45:33,jhm,2002-07-11T12:45:37
DP/JO/551,JO,551,C/EGD/1813,New name,Cathrin,jhm,2002-07-11T12:46:11,jhm,2002-07-11T12:46:21
DP/JO/552,JO,552,C/EGD/1813,Want nothing,,jhm,2002-07-11T12:47:17,jhm,2002-07-11T12:47:17
DP/JO/553,JO,553,C/EGD/1628,Want nothing,,jhm,2002-07-11T13:42:58,jhm,2002-07-11T13:42:59
DP/JO/554,JO,554,C/EGD/1628,Anti-baptism,,jhm,2002-07-11T13:43:02,jhm,2002-07-11T13:43:03
DP/JO/555,JO,555,C/EGD/1628,New name,Maide,jhm,2002-07-11T13:43:09,jhm,2002-07-11T13:43:22
DP/JO/556,JO,556,C/EGD/1628,Devil's Mark,"nipped her, very sore",jhm,2002-07-11T13:43:24,jhm,2002-07-11T13:43:44
DP/JO/557,JO,557,C/EGD/1627,Servant,,jhm,2002-07-11T13:50:07,jhm,2002-07-11T13:50:08
DP/JO/558,JO,558,C/EGD/1627,Want nothing,said the devil offered him god,jhm,2002-07-11T13:50:12,jhm,2002-07-11T13:50:36
DP/JO/559,JO,559,C/EGD/1627,Devil's Mark,nipped on his chest,jhm,2002-07-11T13:50:41,jhm,2002-07-11T13:50:54
DP/JO/560,JO,560,C/EGD/1627,Head and foot,,jhm,2002-07-11T13:50:54,jhm,2002-07-11T13:50:55
DP/JO/561,JO,561,C/EGD/2374,Devil's Mark,searched for mark,jhm,2002-07-11T15:07:32,jhm,2002-07-11T15:07:41
DP/JO/634,JO,634,C/EGD/831,Anti-baptism,,jhm,2002-08-02T15:29:06,jhm,2002-08-02T15:29:07
DP/JO/635,JO,635,C/EGD/2446,Anti-baptism,,jhm,2002-08-02T15:36:44,jhm,2002-08-02T15:36:46
DP/JO/636,JO,636,C/EGD/2446,Paction,,jhm,2002-08-02T15:36:52,jhm,2002-08-02T15:36:53
DP/JO/637,JO,637,C/EGD/21,Devil's Mark,,jhm,2002-08-07T15:26:37,jhm,2002-08-07T15:26:37
DP/JO/638,JO,638,C/EGD/525,Devil's Mark,,jhm,2002-08-07T15:39:01,jhm,2002-08-07T15:39:01
DP/JO/719,JO,719,C/EGD/22,Devil's Mark,,jhm,2002-08-07T16:10:28,jhm,2002-08-07T16:10:28
DP/JO/720,JO,720,C/EGD/23,Devil's Mark,,jhm,2002-08-07T16:12:50,jhm,2002-08-07T16:12:51
DP/JO/721,JO,721,C/EGD/500,Devil's Mark,,jhm,2002-08-07T16:21:34,jhm,2002-08-07T16:21:35
DP/JO/722,JO,722,C/EGD/521,Paction,,jhm,2002-08-09T12:08:58,jhm,2002-08-09T12:08:58
DP/JO/723,JO,723,C/EGD/521,Anti-baptism,,jhm,2002-08-09T12:09:02,jhm,2002-08-09T12:09:03
DP/JO/724,JO,724,C/JO/3227,Paction,,jhm,2002-08-09T12:32:22,jhm,2002-08-09T12:32:23
DP/JO/725,JO,725,C/JO/3227,Anti-baptism,,jhm,2002-08-09T12:32:23,jhm,2002-08-09T12:32:24
DP/JO/735,JO,735,C/EGD/1326,Devil's Mark,left shoulder,jhm,2002-08-26T15:24:09,jhm,2002-08-26T15:24:23
DP/JO/736,JO,736,C/EGD/1328,Devil's Mark,"left back, under shoulder",jhm,2002-08-26T15:33:29,jhm,2002-08-26T15:34:34
DP/JO/737,JO,737,C/EGD/1533,New name,Jonat,jhm,2002-08-27T09:31:07,jhm,2002-08-27T09:31:13
DP/JO/738,JO,738,C/EGD/1533,Paction,made covenant,jhm,2002-08-27T09:31:21,jhm,2002-08-27T09:31:39
DP/JO/739,JO,739,C/EGD/1527,Servant,,jhm,2002-08-27T10:26:29,jhm,2002-08-27T10:26:30
DP/JO/740,JO,740,C/EGD/1527,Want nothing,,jhm,2002-08-27T10:26:32,jhm,2002-08-27T10:26:33
DP/JO/741,JO,741,C/EGD/1527,Anti-baptism,,jhm,2002-08-27T10:26:38,jhm,2002-08-27T10:26:39
DP/JO/742,JO,742,C/EGD/1527,New name,Caterine,jhm,2002-08-27T10:26:41,jhm,2002-08-27T10:26:52
DP/JO/743,JO,743,C/EGD/604,Servant,,jhm,2002-08-27T11:20:45,jhm,2002-08-27T11:20:46
DP/JO/744,JO,744,C/JO/3246,Devil's Mark,"leflt leg, between her shoulders, up her 'hensh'",jhm,2002-08-27T11:46:27,jhm,2002-08-27T11:48:41
DP/JO/745,JO,745,C/JO/3246,Servant,,jhm,2002-08-27T11:55:23,jhm,2002-08-27T11:55:24
DP/JO/746,JO,746,C/JO/3246,Want nothing,,jhm,2002-08-27T11:55:28,jhm,2002-08-27T11:55:29
DP/JO/747,JO,747,C/JO/3246,Anti-baptism,,jhm,2002-08-27T11:56:00,jhm,2002-08-27T11:56:00
DP/JO/748,JO,748,C/JO/3248,Want nothing,property and wealth,jhm,2002-08-28T09:53:00,jhm,2002-08-28T09:53:33
DP/JO/749,JO,749,C/JO/3248,Paction,,jhm,2002-08-28T10:01:11,jhm,2002-08-28T10:01:19
DP/JO/750,JO,750,C/JO/3248,Servant,,jhm,2002-08-28T10:01:19,jhm,2002-08-28T10:01:20
DP/JO/751,JO,751,C/JO/3248,Anti-baptism,,jhm,2002-08-28T10:01:39,jhm,2002-08-28T10:01:39
DP/JO/752,JO,752,C/JO/3248,New name,Margarat,jhm,2002-08-28T10:01:41,jhm,2002-08-28T10:01:54
DP/JO/753,JO,753,C/EGD/1544,Paction,,jhm,2002-08-28T10:38:19,jhm,2002-08-28T10:38:23
DP/JO/754,JO,754,C/EGD/1544,Anti-baptism,,jhm,2002-08-28T10:38:29,jhm,2002-08-28T10:38:30
DP/JO/758,JO,758,C/JO/3075,Devil's Mark,,jhm,2002-09-26T13:25:36,jhm,2002-09-26T13:25:42
DP/JO/759,JO,759,C/JO/3074,Devil's Mark,,jhm,2002-09-26T13:26:37,jhm,2002-09-26T13:26:38
DP/JO/763,JO,763,C/EGD/346,Devil's Mark,neck,jhm,2002-11-05T09:06:03,jhm,2002-11-05T09:06:10
DP/LA/1,LA,1,C/EGD/160,Anti-baptism,,LEM,2001-05-17T10:48:42,LEM,2001-05-17T10:48:46
DP/LA/10,LA,10,C/EGD/179,tacit pact,mediate packtione,LEM,2001-05-21T16:34:24,LEM,2001-05-21T16:34:36
DP/LA/100,LA,100,C/EGD/385,Sex,,LEM,2001-06-29T13:18:24,LEM,2001-06-29T13:18:29
DP/LA/101,LA,101,C/EGD/390,Anti-baptism,,LEM,2001-07-02T09:32:45,LEM,2001-07-02T09:32:46
DP/LA/102,LA,102,C/EGD/390,Body and soul,,LEM,2001-07-02T09:32:48,LEM,2001-07-02T09:32:49
DP/LA/103,LA,103,C/EGD/390,Devil's Mark,Shoulder,LEM,2001-07-02T09:32:51,LEM,2001-07-02T09:32:58
DP/LA/104,LA,104,C/EGD/390,Head and foot,,LEM,2001-07-02T09:33:00,LEM,2001-07-02T09:33:02
DP/LA/105,LA,105,C/EGD/390,Servant,,LEM,2001-07-02T09:33:05,LEM,2001-07-02T09:33:07
DP/LA/106,LA,106,C/EGD/390,Sex,,LEM,2001-07-02T09:33:08,LEM,2001-07-02T09:33:13
DP/LA/107,LA,107,C/EGD/390,Want nothing,,LEM,2001-07-02T09:33:15,LEM,2001-07-02T09:33:16
DP/LA/109,LA,109,C/EGD/388,Anti-baptism,,LEM,2001-07-02T09:45:05,LEM,2001-07-02T09:45:07
DP/LA/11,LA,11,C/LA/2638,Servant,,LEM,2001-05-22T12:17:27,LEM,2001-05-22T12:17:28
DP/LA/110,LA,110,C/EGD/388,Servant,,LEM,2001-07-02T09:45:14,LEM,2001-07-02T09:45:15
DP/LA/111,LA,111,C/EGD/388,Want nothing,,LEM,2001-07-02T09:45:21,LEM,2001-07-02T09:45:21
DP/LA/112,LA,112,C/EGD/388,Sex,,LEM,2001-07-02T09:45:23,LEM,2001-07-02T09:45:26
DP/LA/113,LA,113,C/EGD/388,New name,Jonet Dalry,LEM,2001-07-02T09:45:27,LEM,2001-07-02T09:45:43
DP/LA/114,LA,114,C/EGD/389,Anti-baptism,,LEM,2001-07-02T09:58:04,LEM,2001-07-02T09:58:06
DP/LA/115,LA,115,C/EGD/389,Head and foot,,LEM,2001-07-02T09:58:08,LEM,2001-07-02T09:58:10
DP/LA/116,LA,116,C/EGD/389,Servant,,LEM,2001-07-02T09:58:25,LEM,2001-07-02T09:58:28
DP/LA/117,LA,117,C/EGD/389,Want nothing,,LEM,2001-07-02T09:58:30,LEM,2001-07-02T09:58:37
DP/LA/118,LA,118,C/EGD/389,Sex,,LEM,2001-07-02T10:02:09,LEM,2001-07-02T10:02:15
DP/LA/119,LA,119,C/EGD/391,Anti-baptism,,LEM,2001-07-02T10:11:25,LEM,2001-07-02T10:11:27
DP/LA/12,LA,12,C/LA/2638,Sex,in her shop,LEM,2001-05-22T12:17:33,LEM,2001-05-22T12:17:39
DP/LA/120,LA,120,C/EGD/391,Devil's Mark,,LEM,2001-07-02T10:11:28,LEM,2001-07-02T10:11:30
DP/LA/121,LA,121,C/EGD/391,Head and foot,,LEM,2001-07-02T10:11:31,LEM,2001-07-02T10:11:33
DP/LA/122,LA,122,C/EGD/391,Servant,,LEM,2001-07-02T10:11:35,LEM,2001-07-02T10:11:36
DP/LA/123,LA,123,C/EGD/391,Sex,nature cold,LEM,2001-07-02T10:11:38,jhm,2002-11-06T12:28:02
DP/LA/124,LA,124,C/EGD/386,Anti-baptism,,LEM,2001-07-02T10:29:21,LEM,2001-07-02T10:29:28
DP/LA/125,LA,125,C/EGD/386,Devil's Mark,Shoulder,LEM,2001-07-02T10:29:30,LEM,2001-07-02T10:29:34
DP/LA/126,LA,126,C/EGD/386,Sex,,LEM,2001-07-02T10:29:37,LEM,2001-07-02T10:29:38
DP/LA/127,LA,127,C/EGD/386,Want nothing,,LEM,2001-07-02T10:29:41,LEM,2001-07-02T10:29:42
DP/LA/128,LA,128,C/EGD/386,Servant,,LEM,2001-07-02T10:29:48,LEM,2001-07-02T10:29:54
DP/LA/129,LA,129,C/EGD/387,Anti-baptism,,LEM,2001-07-02T10:58:15,LEM,2001-07-02T10:58:15
DP/LA/13,LA,13,C/LA/2638,Sex,accomplice's house,LEM,2001-05-22T12:17:43,LEM,2001-05-22T12:17:51
DP/LA/130,LA,130,C/EGD/387,Want nothing,,LEM,2001-07-02T10:58:19,LEM,2001-07-02T10:58:19
DP/LA/131,LA,131,C/EGD/387,Head and foot,,LEM,2001-07-02T10:58:23,LEM,2001-07-02T10:58:24
DP/LA/132,LA,132,C/EGD/387,Sex,,LEM,2001-07-02T10:58:31,LEM,2001-07-02T10:58:32
DP/LA/133,LA,133,C/EGD/387,Servant,,LEM,2001-07-02T10:58:34,LEM,2001-07-02T10:58:35
DP/LA/134,LA,134,C/EGD/398,Anti-baptism,,LEM,2001-07-02T12:16:21,LEM,2001-07-02T12:16:22
DP/LA/135,LA,135,C/EGD/398,Servant,,LEM,2001-07-02T12:16:25,LEM,2001-07-02T12:16:25
DP/LA/136,LA,136,C/EGD/398,Head and foot,,LEM,2001-07-02T12:16:26,LEM,2001-07-02T12:16:26
DP/LA/137,LA,137,C/EGD/1954,Anti-baptism,said she refused to do this,LEM,2001-07-02T13:17:01,jhm,2001-07-11T09:58:18
DP/LA/138,LA,138,C/EGD/1954,Head and foot,,LEM,2001-07-02T13:17:03,LEM,2001-07-02T13:17:03
DP/LA/139,LA,139,C/EGD/402,Servant,,LEM,2001-07-02T13:34:47,LEM,2001-07-02T13:34:48
DP/LA/14,LA,14,C/LA/2638,Sex,her naiket bed,LEM,2001-05-22T12:17:53,LEM,2001-05-22T12:17:58
DP/LA/140,LA,140,C/EGD/400,Anti-baptism,,LEM,2001-07-02T15:41:08,LEM,2001-07-02T15:41:09
DP/LA/141,LA,141,C/EGD/400,Head and foot,,LEM,2001-07-02T15:41:12,LEM,2001-07-02T15:41:14
DP/LA/142,LA,142,C/EGD/400,New name,Margaret,LEM,2001-07-02T15:41:16,LEM,2001-07-02T15:41:20
DP/LA/143,LA,143,C/EGD/400,Servant,,LEM,2001-07-02T15:41:24,LEM,2001-07-02T15:41:25
DP/LA/144,LA,144,C/EGD/400,Sex,,LEM,2001-07-02T15:41:26,LEM,2001-07-02T15:41:31
DP/LA/145,LA,145,C/EGD/401,Anti-baptism,,LEM,2001-07-02T16:14:12,LEM,2001-07-02T16:14:33
DP/LA/146,LA,146,C/EGD/401,Servant,,LEM,2001-07-03T10:50:08,LEM,2001-07-03T10:50:09
DP/LA/147,LA,147,C/EGD/434,Anti-baptism,,LEM,2001-07-03T13:24:52,LEM,2001-07-03T13:24:53
DP/LA/148,LA,148,C/EGD/434,Devil's Mark,Shoulder,LEM,2001-07-03T13:24:55,LEM,2001-07-03T13:25:00
DP/LA/149,LA,149,C/EGD/434,New name,Marie Luckifoot,LEM,2001-07-03T13:25:03,LEM,2002-06-13T10:04:17
DP/LA/15,LA,15,C/LA/2638,New name,,LEM,2001-05-22T12:18:01,LEM,2001-05-22T12:18:04
DP/LA/150,LA,150,C/EGD/434,Sex,,LEM,2001-07-03T13:25:15,LEM,2001-07-03T13:25:18
DP/LA/151,LA,151,C/EGD/434,Servant,,LEM,2001-07-03T13:25:20,LEM,2001-07-03T13:25:21
DP/LA/152,LA,152,C/EGD/409,Devil's Mark,,LEM,2001-07-04T12:53:39,LEM,2001-07-04T12:53:40
DP/LA/153,LA,153,C/EGD/409,Servant,,LEM,2001-07-04T12:53:42,LEM,2001-07-04T12:53:45
DP/LA/154,LA,154,C/EGD/926,Body and soul,,LEM,2001-07-05T15:29:50,LEM,2001-07-05T15:29:51
DP/LA/155,LA,155,C/EGD/926,Servant,,LEM,2001-07-05T15:29:52,LEM,2001-07-05T15:29:53
DP/LA/156,LA,156,C/EGD/925,Body and soul,,LEM,2001-07-05T15:35:13,LEM,2001-07-05T15:35:14
DP/LA/157,LA,157,C/EGD/925,Servant,,LEM,2001-07-05T15:35:14,LEM,2001-07-05T15:35:18
DP/LA/158,LA,158,C/EGD/924,Body and soul,,LEM,2001-07-05T15:36:09,LEM,2001-07-05T15:36:10
DP/LA/159,LA,159,C/EGD/924,Servant,,LEM,2001-07-05T15:36:11,LEM,2001-07-05T15:36:12
DP/LA/16,LA,16,C/LA/2638,Devil's Mark,left shoulder,LEM,2001-05-22T12:18:07,LEM,2001-05-22T12:18:13
DP/LA/160,LA,160,C/EGD/923,Body and soul,,LEM,2001-07-05T15:39:57,LEM,2001-07-05T15:39:57
DP/LA/161,LA,161,C/EGD/923,Servant,,LEM,2001-07-05T15:39:58,LEM,2001-07-05T15:40:00
DP/LA/162,LA,162,C/EGD/922,Body and soul,,LEM,2001-07-05T15:44:00,LEM,2001-07-05T15:44:01
DP/LA/163,LA,163,C/EGD/922,Servant,,LEM,2001-07-05T15:44:02,LEM,2001-07-05T15:44:03
DP/LA/164,LA,164,C/EGD/934,Body and soul,,LEM,2001-07-05T15:46:09,LEM,2001-07-05T15:46:10
DP/LA/165,LA,165,C/EGD/934,Servant,,LEM,2001-07-05T15:46:11,LEM,2001-07-05T15:46:12
DP/LA/166,LA,166,C/EGD/933,Body and soul,,LEM,2001-07-05T15:50:04,LEM,2001-07-05T15:50:04
DP/LA/167,LA,167,C/EGD/933,Servant,,LEM,2001-07-05T15:50:05,LEM,2001-07-05T15:50:07
DP/LA/168,LA,168,C/EGD/931,Body and soul,,LEM,2001-07-05T15:55:11,LEM,2001-07-05T15:55:11
DP/LA/169,LA,169,C/EGD/931,Servant,,LEM,2001-07-05T15:55:12,LEM,2001-07-05T15:55:14
DP/LA/17,LA,17,C/EGD/180,Servant,,LEM,2001-05-22T12:26:07,LEM,2001-05-22T12:26:09
DP/LA/170,LA,170,C/EGD/932,Body and soul,,LEM,2001-07-05T16:00:46,LEM,2001-07-05T16:00:47
DP/LA/171,LA,171,C/EGD/932,Servant,,LEM,2001-07-05T16:00:47,LEM,2001-07-05T16:00:50
DP/LA/172,LA,172,C/EGD/370,Head and foot,,LEM,2001-07-09T10:23:58,LEM,2001-07-09T10:24:00
DP/LA/173,LA,173,C/EGD/370,Want nothing,,LEM,2001-07-09T10:24:04,LEM,2001-07-09T10:24:05
DP/LA/174,LA,174,C/EGD/378,Servant,,LEM,2001-07-09T10:46:37,LEM,2001-07-09T10:46:38
DP/LA/175,LA,175,C/EGD/374,Head and foot,,LEM,2001-07-09T11:20:03,LEM,2001-07-09T11:20:04
DP/LA/176,LA,176,C/EGD/374,Want nothing,,LEM,2001-07-09T11:20:14,LEM,2001-07-09T11:20:14
DP/LA/177,LA,177,C/EGD/373,Head and foot,,LEM,2001-07-09T11:22:58,LEM,2001-07-09T11:22:59
DP/LA/178,LA,178,C/LA/2798,Anti-baptism,,LEM,2001-07-09T12:57:24,LEM,2001-07-09T12:57:25
DP/LA/179,LA,179,C/LA/2798,Devil's Mark,,LEM,2001-07-09T12:57:36,LEM,2001-07-09T12:57:37
DP/LA/18,LA,18,C/EGD/180,Anti-baptism,agreed to quite Christ,LEM,2001-05-22T12:28:04,LEM,2001-05-22T12:28:20
DP/LA/180,LA,180,C/LA/2798,Want nothing,,LEM,2001-07-09T12:57:39,LEM,2001-07-09T12:57:42
DP/LA/181,LA,181,C/LA/2798,Servant,,LEM,2001-07-09T12:57:44,LEM,2001-07-09T12:57:44
DP/LA/182,LA,182,C/LA/2798,Sex,,LEM,2001-07-09T12:57:50,LEM,2001-07-09T12:57:51
DP/LA/183,LA,183,C/LA/2798,New name,Speed,LEM,2001-07-09T12:57:51,LEM,2001-07-09T12:58:00
DP/LA/184,LA,184,C/EGD/373,Body and soul,,LEM,2001-07-09T13:38:24,LEM,2001-07-09T13:38:25
DP/LA/185,LA,185,C/EGD/392,Anti-baptism,,LEM,2001-07-09T15:34:08,LEM,2001-07-09T15:34:09
DP/LA/186,LA,186,C/EGD/392,Body and soul,,LEM,2001-07-09T15:34:10,LEM,2001-07-09T15:34:12
DP/LA/187,LA,187,C/EGD/392,Head and foot,,LEM,2001-07-09T15:34:13,LEM,2001-07-09T15:34:15
DP/LA/188,LA,188,C/EGD/392,Servant,,LEM,2001-07-09T15:34:17,LEM,2001-07-09T15:34:18
DP/LA/189,LA,189,C/EGD/392,Sex,,LEM,2001-07-09T15:34:19,LEM,2001-07-09T15:34:21
DP/LA/19,LA,19,C/EGD/180,Sex,beastly manner like a dog,LEM,2001-05-22T12:32:01,LEM,2001-05-22T12:32:11
DP/LA/190,LA,190,C/EGD/408,Servant,,LEM,2001-07-09T16:18:43,LEM,2001-07-09T16:18:44
DP/LA/191,LA,191,C/EGD/407,Servant,,LEM,2001-07-09T16:22:41,LEM,2001-07-09T16:22:43
DP/LA/192,LA,192,C/EGD/407,Anti-baptism,,LEM,2001-07-09T16:22:44,LEM,2001-07-09T16:22:44
DP/LA/193,LA,193,C/EGD/359,Anti-baptism,,LEM,2001-07-10T09:43:08,LEM,2001-07-10T09:43:09
DP/LA/194,LA,194,C/EGD/359,Servant,,LEM,2001-07-10T09:43:10,LEM,2001-07-10T09:43:11
DP/LA/195,LA,195,C/EGD/359,Sex,,LEM,2001-07-10T09:43:11,LEM,2001-07-10T09:43:17
